6598,XF2A012,XF2A012,43,12,55.26042,,,,81.46718,,,,1.875,3.474904,1,空闲,A区,1,1,
6599,XF2A013,XF2A013,43,12,44.63542,,,,78.18533,,,,2.1875,3.185328,1,空闲,A区,1,1,
6600,XF2A014,XF2A014,43,12,47.03125,,,,78.08881,,,,1.770833,3.378378,1,空闲,A区,1,1,
6601,XF2A015,XF2A015,43,12,49.01042,,,,78.18533,,,,1.875,2.992278,1,空闲,A区,1,1,
6602,XF2A016,XF2A016,43,12,51.30208,,,,77.99228,,,,1.770833,3.281853,1,空闲,A区,1,1,
6603,XF2A017,XF2A017,43,12,53.28125,,,,78.08881,,,,1.875,3.185328,1,空闲,A区,1,1,
6604,XF2A018,XF2A018,43,12,55.20833,,,,78.18533,,,,2.135417,3.088803,1,空闲,A区,1,1,
6605,XF2A019,XF2A019,43,12,44.47917,,,,74.03475,,,,2.291667,2.992278,1,空闲,A区,1,1,
6606,XF2A020,XF2A020,43,12,46.97917,,,,73.8417,,,,1.770833,3.281853,1,空闲,A区,1,1,
6607,XF2A021,XF2A021,43,12,49.01042,,,,74.13127,,,,1.927083,2.799228,1,空闲,A区,1,1,
6608,XF2A022,XF2A022,43,12,51.30208,,,,73.8417,,,,1.666667,3.088803,1,空闲,A区,1,1,
6609,XF2A023,XF2A023,43,12,53.28125,,,,73.64865,,,,1.770833,3.571429,1,空闲,A区,1,1,
6610,XF2A024,XF2A024,43,12,55.26042,,,,73.8417,,,,2.083333,3.088803,1,空闲,A区,1,1,
6611,XF2A025,XF2A025,43,12,44.73958,,,,70.17374,,,,1.927083,3.281853,1,空闲,A区,1,1,
6612,XF2A026,XF2A026,43,12,47.08333,,,,70.3668,,,,1.614583,3.185328,1,空闲,A区,1,1,
6613,XF2A027,XF2A027,43,12,49.11458,,,,70.55984,,,,1.71875,2.799228,1,空闲,A区,1,1,
6614,XF2A028,XF2A028,43,12,51.19792,,,,70.17374,,,,1.71875,3.378378,1,空闲,A区,1,1,
6615,XF2A029,XF2A029,43,12,53.28125,,,,70.17374,,,,1.770833,3.281853,1,空闲,A区,1,1,
6616,XF2A030,XF2A030,43,12,55.26042,,,,70.46332,,,,1.979167,3.088803,1,空闲,A区,1,1,
6617,XF2A031,XF2A031,43,12,44.6875,,,,66.21622,,,,2.083333,2.992278,1,空闲,A区,1,1,
6618,XF2A032,XF2A032,43,12,47.03125,,,,66.21622,,,,1.770833,2.799228,1,空闲,A区,1,1,
6619,XF2A033,XF2A033,43,12,48.95833,,,,66.02316,,,,1.875,3.378378,1,空闲,A区,1,1,
6620,XF2A034,XF2A034,43,12,51.09375,,,,66.02316,,,,2.03125,3.281853,1,空闲,A区,1,1,
6621,XF2A035,XF2A035,43,12,53.22917,,,,66.02316,,,,1.875,3.281853,1,空闲,A区,1,1,
6622,XF2A036,XF2A036,43,12,55.41667,,,,66.11969,,,,1.822917,3.088803,1,空闲,A区,1,1,
6623,XF2A037,XF2A037,43,12,44.73958,,,,62.64479,,,,1.979167,2.992278,1,空闲,A区,1,1,
6624,XF2A038,XF2A038,43,12,46.97917,,,,62.45174,,,,1.927083,3.378378,1,空闲,A区,1,1,
6625,XF2A039,XF2A039,43,12,49.11458,,,,62.35521,,,,1.822917,3.474904,1,空闲,A区,1,1,
6626,XF2A040,XF2A040,43,12,51.25,,,,62.35521,,,,1.666667,3.281853,1,空闲,A区,1,1,
6627,XF2A041,XF2A041,43,12,53.38542,,,,62.25869,,,,1.71875,3.378378,1,空闲,A区,1,1,
6628,XF2A042,XF2A042,43,12,55.26042,,,,62.25869,,,,2.03125,3.571429,1,空闲,A区,1,1,
6629,XF2A043,XF2A043,43,12,44.58333,,,,58.39768,,,,2.135417,2.992278,1,空闲,A区,1,1,
6630,XF2A044,XF2A044,43,12,46.92708,,,,58.30116,,,,1.927083,3.185328,1,空闲,A区,1,1,
6631,XF2A045,XF2A045,43,12,49.01042,,,,58.20463,,,,1.927083,3.185328,1,空闲,A区,1,1,
6632,XF2A046,XF2A046,43,12,51.19792,,,,58.30116,,,,1.822917,3.185328,1,空闲,A区,1,1,
6633,XF2A047,XF2A047,43,12,53.22917,,,,58.39768,,,,1.927083,3.185328,1,空闲,A区,1,1,
6634,XF2A048,XF2A048,43,12,55.41667,,,,58.10811,,,,1.770833,3.378378,1,空闲,A区,1,1,
6635,XF2A049,XF2A049,43,12,44.73958,,,,54.53668,,,,1.979167,3.378378,1,空闲,A区,1,1,
6636,XF2A050,XF2A050,43,12,47.03125,,,,54.53668,,,,1.770833,3.474904,1,空闲,A区,1,1,
6637,XF2A051,XF2A051,43,12,49.11458,,,,54.44016,,,,1.979167,3.378378,1,空闲,A区,1,1,
6638,XF2A052,XF2A052,43,12,51.35417,,,,54.63321,,,,1.614583,3.281853,1,空闲,A区,1,1,
6639,XF2A053,XF2A053,43,12,53.125,,,,54.2471,,,,1.979167,3.861004,1,空闲,A区,1,1,
6640,XF2A054,XF2A054,43,12,55.36458,,,,54.53668,,,,1.927083,3.281853,1,空闲,A区,1,1,
